song,scene,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,name,type,active_lights,colors,avg_brightness,avg_strobe,uses_mfft,uses_time,uses_bool,active_light_types,dominant_color
The Less I Know The Better,vintage,8.03265,1.0,-5.933,116.854,0.874,8,0.48,0,0.536,4,0.333,vintage,effect,"['orb', 'ropes']",{},141.25,,True,False,False,{'dimmer': 2},
The Less I Know The Better,vintage,17.44002,0.841,-3.748,116.999,0.637,11,0.444,1,0.491,4,1.0,vintage,effect,"['orb', 'ropes']",{},141.25,,True,False,False,{'dimmer': 2},
The Less I Know The Better,disco,17.95016,0.103,-3.962,117.038,0.535,11,0.367,1,0.433,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
The Less I Know The Better,discovibe,26.15463,0.746,-3.967,116.914,0.485,11,0.326,1,0.417,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
The Less I Know The Better,discovibe,31.79573,0.503,-5.047,116.57,0.426,9,0.616,1,0.545,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
The Less I Know The Better,bluevelvet,42.56465,0.671,-3.766,116.965,0.507,11,0.461,1,0.461,4,1.0,bluevelvet,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']",{'blue': 8},56.25,0.0,True,False,False,"{'dimmer': 2, 'rgb': 8}",blue
The Less I Know The Better,bluevelvet,11.78614,0.608,-4.753,116.789,0.369,6,0.399,0,0.505,4,1.0,bluevelvet,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']",{'blue': 8},56.25,0.0,True,False,False,"{'dimmer': 2, 'rgb': 8}",blue
The Less I Know The Better,discovibe,60.59603,0.138,-3.871,117.003,0.369,4,0.529,1,0.588,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
Get Down On It - Single Version,vintage,8.60408,1.0,-11.271,109.648,0.966,11,0.097,1,0.44,4,1.0,vintage,effect,"['orb', 'ropes']",{},141.25,,True,False,False,{'dimmer': 2},
Get Down On It - Single Version,vintage,19.0775,0.474,-8.848,109.987,0.866,4,0.581,0,0.544,4,1.0,vintage,effect,"['orb', 'ropes']",{},141.25,,True,False,False,{'dimmer': 2},
Get Down On It - Single Version,discovibe,18.3362,0.393,-7.708,111.339,0.836,4,0.04,0,0.492,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
Get Down On It - Single Version,discovibe,17.88646,0.291,-7.708,110.676,0.794,9,0.641,0,0.587,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
Get Down On It - Single Version,discovibe,14.63087,0.391,-7.247,110.865,0.735,7,0.33,1,0.466,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
Get Down On It - Single Version,bluevelvet,31.39879,0.169,-8.154,110.788,0.783,7,0.432,1,0.577,4,1.0,bluevelvet,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']",{'blue': 8},56.25,0.0,True,False,False,"{'dimmer': 2, 'rgb': 8}",blue
Get Down On It - Single Version,discolaser,31.42232,0.089,-7.938,110.357,0.814,7,0.364,1,0.481,4,1.0,discolaser,effect,"['discoball', 'lasers']",{},177.5,,False,False,True,{'dimmer': 2},
Get Down On It - Single Version,vintage,16.68003,0.375,-9.054,111.33,0.854,4,0.262,0,0.529,4,1.0,vintage,effect,"['orb', 'ropes']",{},141.25,,True,False,False,{'dimmer': 2},
Get Down On It - Single Version,bluevelvet,14.44544,0.549,-7.33,112.264,0.727,4,0.0,0,0.156,4,1.0,bluevelvet,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']",{'blue': 8},56.25,0.0,True,False,False,"{'dimmer': 2, 'rgb': 8}",blue
Get Down On It - Single Version,bluevelvet,8.54791,0.031,-6.78,112.285,0.69,11,0.0,0,0.0,4,1.0,bluevelvet,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']",{'blue': 8},56.25,0.0,True,False,False,"{'dimmer': 2, 'rgb': 8}",blue
Get Down On It - Single Version,bluevelvet,24.08194,0.312,-10.955,112.151,0.766,9,0.051,0,0.324,4,1.0,bluevelvet,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']",{'blue': 8},56.25,0.0,True,False,False,"{'dimmer': 2, 'rgb': 8}",blue
Get Down On It - Single Version,off,6.56846,1.0,-36.886,111.83,0.545,0,0.157,1,0.464,4,1.0,off,effect,[],{},,,False,False,False,{},
Danielle (smile on my face),pink_pulse,15.1593,1.0,-6.317,130.09,0.67,5,0.894,1,0.595,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Danielle (smile on my face),pink_pulse,22.61671,0.52,-5.387,130.002,0.598,1,0.298,1,0.345,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Danielle (smile on my face),pink_pulse,22.15262,0.75,-5.456,129.954,0.586,5,1.0,1,0.671,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Danielle (smile on my face),fairies,20.30029,0.067,-4.833,130.016,0.451,0,0.162,1,0.42,4,1.0,fairies,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'purple': 8},,,False,False,True,{'rgb': 8},purple
Danielle (smile on my face),white_echo,16.56531,0.57,-4.805,129.913,0.406,5,0.061,1,0.02,4,1.0,white_echo,build,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'white': 8},,255.0,False,True,False,{'rgb': 8},white
Danielle (smile on my face),ambient1,25.28344,1.0,-17.977,128.411,0.257,5,0.781,1,0.708,4,1.0,ambient1,ambient,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 4, 'purple': 4}",,0.0,False,True,False,"{'rgb': 8, 'dimmer': 2}",blue
Danielle (smile on my face),party,48.3834,0.813,-4.428,130.054,0.41,9,0.362,0,0.357,4,1.0,party,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']","{'purple': 2, 'pink': 4, 'blue': 1, 'green': 1}",28.333333333333332,85.0,True,True,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Danielle (smile on my face),pink_pulse,13.89028,0.398,-5.583,130.07,0.642,1,0.36,1,0.005,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Danielle (smile on my face),pink_pulse,12.05419,0.455,-5.435,130.258,0.486,2,0.087,1,0.251,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Danielle (smile on my face),pink_pulse,4.8252,0.732,-20.549,129.321,0.301,3,0.0,1,0.0,4,1.0,pink_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'pink': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",pink
Oh Yeah - Remastered 2005,vintage,8.36729,1.0,-11.144,132.47,0.775,2,0.0,1,0.0,4,1.0,vintage,effect,"['orb', 'ropes']",{},141.25,,True,False,False,{'dimmer': 2},
Oh Yeah - Remastered 2005,bluevelvet,28.94488,0.432,-7.435,132.681,0.764,1,0.633,1,0.456,4,1.0,bluevelvet,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']",{'blue': 8},56.25,0.0,True,False,False,"{'dimmer': 2, 'rgb': 8}",blue
Oh Yeah - Remastered 2005,red_pulse,24.88509,0.281,-8.399,132.592,0.849,1,0.175,1,0.389,4,1.0,red_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'red': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",red
Oh Yeah - Remastered 2005,red_pulse,19.03412,0.831,-7.336,132.57,0.705,3,0.396,0,0.259,4,1.0,red_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'red': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",red
Oh Yeah - Remastered 2005,vintage,10.4116,0.345,-6.553,132.624,0.733,1,0.382,0,0.471,4,1.0,vintage,effect,"['orb', 'ropes']",{},141.25,,True,False,False,{'dimmer': 2},
Oh Yeah - Remastered 2005,blue_pulse,14.49527,0.277,-7.138,132.585,0.794,3,0.022,0,0.119,4,1.0,blue_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'blue': 8},85.0,0.0,True,False,True,"{'rgb': 8, 'dimmer': 4, 'strobe': 1}",blue
Oh Yeah - Remastered 2005,flicker,7.23665,0.754,-8.834,132.833,0.521,1,0.279,1,0.529,4,1.0,flicker,effect,"['orb', 'ropes']",{},,,False,False,True,{'dimmer': 2},
Oh Yeah - Remastered 2005,hell,22.18915,0.716,-6.404,132.637,0.673,3,0.0,0,0.0,4,1.0,hell,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'red': 8},,,False,False,True,{'rgb': 8},red
Oh Yeah - Remastered 2005,red_bass_pulse,13.58694,0.878,-9.437,132.679,0.845,10,0.093,0,0.505,4,1.0,red_bass_pulse,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'lasers', 'discoball', 'ropes']",{'red': 8},85.0,255.0,True,False,True,"{'rgb': 8, 'strobe': 1, 'dimmer': 4}",red
Oh Yeah - Remastered 2005,red_echo,21.25676,0.619,-7.986,132.64,0.577,1,0.0,1,0.053,4,1.0,red_echo,build,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'red': 8},,255.0,False,True,False,{'rgb': 8},red
Oh Yeah - Remastered 2005,red_echo,14.63561,0.205,-8.508,132.894,0.476,5,0.347,0,0.48,4,1.0,red_echo,build,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6']",{'red': 8},,255.0,False,True,False,{'rgb': 8},red
"What Is Love - 7"" Mix",disco,8.537,1.0,-12.499,123.731,0.671,10,0.333,1,0.403,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
"What Is Love - 7"" Mix",discovibe,25.17921,0.557,-8.802,123.992,0.704,5,0.384,1,0.255,4,1.0,discovibe,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'rgb1', 'rgb6', 'discoball', 'ropes']","{'blue': 4, 'pink': 4}",70.0,0.1111111111111111,True,True,True,"{'dimmer': 2, 'rgb': 8, 'strobe': 1}",blue
"What Is Love - 7"" Mix",trance,21.80116,0.335,-8.231,123.967,0.714,5,0.809,0,0.581,4,1.0,trance,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6', 'discoball']",{'purple': 8},255.0,255.0,False,True,True,"{'rgb': 8, 'dimmer': 1}",purple
"What Is Love - 7"" Mix",trance,15.97798,0.167,-7.523,123.932,0.631,7,0.786,0,0.573,4,1.0,trance,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6', 'discoball']",{'purple': 8},255.0,255.0,False,True,True,"{'rgb': 8, 'dimmer': 1}",purple
"What Is Love - 7"" Mix",build1,16.46931,0.029,-7.054,123.739,0.482,7,0.08,0,0.472,4,1.0,build1,build,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 4, 'purple': 4}",127.5,0.0,True,True,False,"{'rgb': 8, 'dimmer': 2}",blue
"What Is Love - 7"" Mix",trance,14.53657,0.041,-7.442,123.875,0.653,5,0.458,1,0.319,4,1.0,trance,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6', 'discoball']",{'purple': 8},255.0,255.0,False,True,True,"{'rgb': 8, 'dimmer': 1}",purple
"What Is Love - 7"" Mix",build1,47.46541,0.539,-7.574,123.922,0.57,7,0.633,0,0.392,4,1.0,build1,build,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 4, 'purple': 4}",127.5,0.0,True,True,False,"{'rgb': 8, 'dimmer': 2}",blue
"What Is Love - 7"" Mix",trance,15.0535,0.299,-7.342,123.715,0.567,5,0.369,1,0.149,4,1.0,trance,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6', 'discoball']",{'purple': 8},255.0,255.0,False,True,True,"{'rgb': 8, 'dimmer': 1}",purple
"What Is Love - 7"" Mix",ambient1,23.70551,1.0,-11.374,123.892,0.725,7,0.491,0,0.516,4,1.0,ambient1,ambient,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 4, 'purple': 4}",,0.0,False,True,False,"{'rgb': 8, 'dimmer': 2}",blue
"What Is Love - 7"" Mix",trance,30.02554,1.0,-7.394,123.918,0.664,5,0.294,1,0.124,4,1.0,trance,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6', 'discoball']",{'purple': 8},255.0,255.0,False,True,True,"{'rgb': 8, 'dimmer': 1}",purple
"What Is Love - 7"" Mix",build1,16.4748,0.221,-6.891,123.662,0.436,5,0.397,1,0.242,4,1.0,build1,build,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 4, 'purple': 4}",127.5,0.0,True,True,False,"{'rgb': 8, 'dimmer': 2}",blue
"What Is Love - 7"" Mix",trance,35.14734,0.266,-7.308,123.913,0.552,7,0.498,0,0.407,4,1.0,trance,unknown,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'rgb4', 'rgb1', 'rgb6', 'discoball']",{'purple': 8},255.0,255.0,False,True,True,"{'rgb': 8, 'dimmer': 1}",purple
Mula,whispers,8.02365,1.0,-12.771,146.113,0.18,1,0.0,1,0.0,4,0.941,whispers,effect,"['rgb8', 'rgb3', 'rgb7', 'rgb2', 'rgb5', 'strobe', 'rgb4', 'orb', 'rgb1', 'rgb6', 'ropes']","{'blue': 3, 'purple': 3, 'green': 2}",20.833333333333332,0.0,True,True,True,"{'rgb': 8, 'dimmer': 2, 'strobe': 1}",blue
